message,emotion
"I am going home after two years of hospitals and nursing home care. I cannot slide myself from chair to car without risking more open wounds and infections. After 40 plus years of proving to others I can function and live from a self powered wheelchairâ I now require a fully equipped van which will allow me to drive after boarding in a power chair. WOW!! In 1973 when I had the motorcycle accident which left me paralyzed I never thought I would require this much technology to driveSo I am asking any of my former students from Morenci, any of drivers who delivered newspapers for me, or anyone I have assisted financially in the past, for aid now. I want to become independent again. And live for others.",surprise
"Hello, my name is Samuel Sauceda and I'm helping fundraise for my beautiful wife, Jennifer Sauceda, fighting Breast Cancer! December 12, 2022 a large mass was discovered in her left breast. Which led us to Memerial Herman Breast Center on December 16, 2022. On December 21, 2022 we recieved devastating news that my wife has Breast Cancer Stage 3. Today, January 6, 2023 we had series of appointments at MD Anderson and will know Monday, January 9th after meeting her team of doctors and specialist, they will have a game plan that includes surgery to remove the mass. We are Still in shock how fast this popped up.

Now about my wife, she is a strong woman, with a hugh heart, loves life and adores us, has put up with mefor over 25 years, we have 3 wonderful sons (14, 18 and 23) together. Can't wait to celebrate our 25th anniversary this February and I love her to death. She is my soul mate, partner, best friend, love of my life, she's always been by my side and kept me out of trouble. Those who know her really understand where I come from. She always thinks of others and willing to help. Thank you to my boss, co-workers and those who have already helped! Now it's time to help her with love and prayers. Please pray all goes well and kicks Cancer to the curb! God bless her, family, friends and Cancer fighters!!

Sincerely,

Samuel & Jennifer Sauceda",surprise
"Hi, my name is Michelle. I am 51 years old. I have been married for 16 years and have 4 children, ages 16 to 31. I am a Program Supervisor and work with the youth.
This year, on my birthday, I was diagnosed with Multiple Myeloma. Needless to say I was terrified. I have been through Chemo and Radiation. There were times I didnât know whether I would make it through one day to the next, because of the agonizing pain. Thankfully, I have been Blessed to be a candidate for a Stem Cell Transplant in Baltimore, MD. Depending on my progress, once I have been released from the hospital, I will need to remain in Baltimore for up to a month. I will need to return to the hospital on a daily basis.
For this very reason, I am requesting funding for assistance with medical bills and accommodations for my family and caregivers.
Thank you for your time and consideration in honoring this request.

Sincerely,
Michelle",fear
"Hi yâall! We are in need of some help. We got some very unexpected news on Christmas. They found some tumors, one large one, in Hannahâs chest and along her spine. She is also 20 weeks pregnant with baby Grayson. So trying to get Hannah better but also not harming Grayson is gonna be the biggest obstacle. We havenât gotten an official name for the cancer she does have as she has her biopsy in the next day. But we can keep everyone updated. She is unable to work now and really anything can help go towards medical bills and anything she will need for baby grayson, as he most likely will be delivered early. So thatâll be even more she can use help with. Even a share will help! Thanks yâall!",surprise
"Hi there! I'm Zachary and I'm super special. I have quite a few rare and unique gifts for an 8-year-old. I can sing and dance really well. My jokes are hilarious, and I am very good at school, so my parents are very proud of me. Guess what? Iâm also a magician!

There's just one problem. One of the rare and special things about me is that I am 1 in less than 1,000 kids to develop testicular cancer this year. Let me tell you...this has really put a dent in my play schedule.

Anyway, I used all my magical powers to help the doctors with the surgery to remove my tumor and thankfully, things went well. But I have a long journey to go, and I could really use your help.

My magical cancer surgery was very expensive. I hear itâs because my magic is so powerful. Anything you can donate to help offset the cost of my magic would be greatly appreciated. Once this is all over, youâll get a super special (personal) thank you from me! You should also know...a big company with lots of nice people said if you helped enough, they would MATCH YOUR DONATIONS!

P.S. If youâre my dadâs age, just hand your phone to someone my age and let them help you donate. Thatâs how I do it with my grandma Connie sometimes. Anyway, thanks, everyone!",joy
"My name is Kira and I'm at a real low point right now. There's a lot of pain in my mouth from teeth that need to be removed and cavities that need to be filled. I understand that I've done this to myself and this is very much not an emergency yet but I'd like to be able to get to it before any serious damage occurs. It's very painful and affecting my eating and sleeping heavily right now.

The bill is $940 CAD for the teeth extractions alone. I currently do not receive any work benefits and, for reasons I'm unable to get into at the time, I'm not actively working at the moment. I have enough to cover my rent but other than that I'm barely treading water. Any little bit counts, even sharing this around would be much appreciated. I hate having to do this but it's quite a desperate situation right now.",anger
"Hello, I would like to tell you about my new Challenge Me and other people who accompany me in this Campaign would like to raise a TOTAL of $10,000.

 I am not the only one but for my part the loss of my grandfather, my mother who fell ill as well as my grandmother, I had to act.

A big thank you from us for your involvement in this cause.

ââï¸ From May 1st to May 7th I will start La Grande Marche. I will do a LIVE follow-up on Facebook of my journey. I will start my journey at L'oratoire St-Joseph to then arrive in Quebec and cross the Parc des Laurentides to finally arrive at the Port of LaBaie in Saguenay for a total of about 4 to 5 days of walking.ââï¸

 Some of you will say I'm crazy, but I WILL SUFFER for those who SUFFER and those who have SUFFERED â¤ï¸

 I will then give the Donations collected to: The Foundation For Cancer Research. It is thanks to the discoveries of researchers that we will eventually win the victory: one day be able to cure cancer, all cancers.

I invite you in large numbers to make a small donation. $1 can make all the difference. Thank you again for your great generosity and together we can make it happen.

Thank you and happy new year!",gratitude
"Millions of people across the globe were shocked to see Damar Hamlin experience Sudden Cardiac Arrest on national TV during the Buffalo Bills game on January 2nd. Unfortunately, this is all too familiar to so many families including the Stephens Family.

Scott Stephens and Melody Stephens founded the Cody Stephens Foundation in 2012 after the untimely death of their son to Sudden Cardiac Arrest. At 6'9 and 290lbs, Cody was an athlete and the picture of health. When his parents found out that a simple ECG screening could have possibly saved his life, they made it their mission to allow all youth to receive an ECG. Since Cody's death, the Cody Stephens Foundation has provided over 160,000 youth with ECG heart screenings and passed HB76, Cody's Law, which gives parents the option on their school physicals form to ask for their child to receive an ECG heart screening.

Next month Scott and former NFL player, Randy Grimes, will team up during Super Bowl Week in Pheonix, Arizona to continue to raise awareness for Sudden Cardiac Arrest. This trip is an important step in advocacy for Sudden Cardiac Arrest but will cost money between flights, hotels, and printed materials. Funds donated will help with associated costs for the trip. Any additional funds will be used to continue to provide ECG heart screenings to youth.",surprise
"To know Tori means you know how much she loves animals, especially her boys Tiger and Shadow. In early August, Tori unexpectedly lost Shadow to heart failure. Tori was injured while bringing Shadow to the Emergency Vet and was out of work for a few weeks.
After returning to work from the loss of Shadow and her injury, Tori was injured again, this time at work, lifting a manhole cover, leaving her unable to work for an additional month.
Recently, a mass was found in Tigerâs intestines. He underwent surgery and it was determined that he has cancer.
In addition to the grief and loss she has experienced, the financial burden of unexpected vet bills, personal medical bills, and loss of work has weighed heavily on her.
Any and all gifts are greatly appreciated and accepted with the utmost level of gratitude and love for our friend.",sadness
"Hi my dear friends and loved ones. I go by many names; Cheryl, Cher, Cherry and Cherryplum (the last 2 lovingly given to me by my colleagues in India). All of you know the brutality and utter terror I experienced while being held captive in Chennai India for 2 years (July 2010-June 2013). Because of that, I have 4 diagnosed mental health illnesses (I'm not ashamed, fighting the #stigma) and 3 very serious physical health issues. The most dire one at the moment are my kidneys. I've recovered from a kidney infection, but still have a stone and cyst. I've been to a Urologist, but now a pure kidney specialist, because I was denied water for long periods of times.He's a Nephrologist and had a heart to heart with me, amazed I survived. He's treating me aggressively, expensive medication and temporary dialysis to avoid permanent dialysis or a transplant.I am so scared worried and most of all stressed. I have $180 in co-pays ue to the ER, $250 due to Gold Cross Ambulance, and as of today, a minimum of $1,500 to get things going to fix these kidneys! I believe in miracles, love, kindness and compassion. Any amount would help, even $5 or $10; it all adds up eventually. PS~I do not like asking for help, but I love giving help. If you're not able to give, I understand, I'd really appreciate your kind thoughts. Sending so much love to all of you.",fear
"About a year go Twin Battle was diagnosed with pancreatic cancer. And true to form, she has faced this diagnosis head on and continues to fight every day! Many of you that know Twin from her years at Mission Hospital will remember that she was always the first in line to help a friend and colleague. The goal of this Gofundme is to help Twin manage her medical bills so that she can continue to fight and get on with the retirement that she deserves. Please contribute if you are able and share this fundraiser with any and all who know and love Twin. I know there are many of you out there! Thanks so much!â¤ï¸",gratitude
"Thanksgiving day this year was wonderful. Our family got together at my parents' house in a way that hasn't happened since Covid. We laughed, we ate, we played. This Thanksgiving will be one I will remember forever because that will be the last normal day for our family.

On Friday November 25th, my Daddy went into cardiac arrest. 911 arrived quickly, started CPR, and transported him to the hospital. After a long fight by some amazing first responders, my Daddy regained a pulse. After 5ish days in a comma, he has slowly started to regain physical strength, although his cognitive abilities are progressing much slower. He is currently in the ICU and when ready will be transferred to an in-patient rehab facility.

Both my mom and dad are still working full time. My dad has been working as a public defender helping those who need it most, and my mom teaches at a local private Christian school. My mother is a strong woman who remains steadfast in her faith, but between lost wages and medical bills, anything you are willing to give would be greatly appreciated. My hope is that through these donations she feels our love and prayers in the form of relieving some of her financial burdens.

Most importantly, please continue to lift up both my mom and dad through your prayers. God's love has brought us this far, and we trust He will continue to carry us through this storm.
Sarah Carr Thompson",joy
"Hi everyone, we are so extremely thankful for all of the prayers this past month. For those of you that donât know my dad had a stroke 11/15/22, it was a very scary time for our family we werenât sure if my dad was going to survive but by the grace and miracles of God, my dad survived. He has a long road ahead of him, he needs physical therapy and occupational therapy, which the out of pocket just for physical therapy is $4,500, plus co-pay of $20 each visit. This isnât including all of the hospital bills that are starting to come in.
We appreciate all of the help and prayers! Thank you so much. We love you guys!",fear
"Hi, my name is Joyce Merchant. I'm fundraising for my daughter, Jennifer McLaren.

Jennifer, her husband and two teenage sons live in Anaheim, CA.
Jennifer has been suffering from headaches that were getting worse, so she went in to have them checked out, receiving some concerning news on May 27. Since then, she's had MRIs and an angiogram (during which she had a seizure during recovery). Her driver's license has been pulled due to the seizure.
On June 29th, the neurosurgeon made an urgent referral to UCLA. The recommendation is for a conscious craniotomy so that they can check for deficits during the procedure.
The expected recovery time after the procedure is a minimum of three months, during which time she will be unable to work.
The family is struggling during this scary time as Jennifer deals with the issues with this medical issue!

Any help would be appreciated!",fear
"Hey you guys. As most of you know, my dad Stephen has been in the hospital since Christmas morning struggling to breathe. He has been diagnosed with COPD and congestive heart failure on top of asthma which heâs had since birth. He has been having several tests done and has multiple procedures planned in the next few weeks. He is an on the road truck driver and the sole provider for my family which will affect our lives moving forward. He will not be able to get back on the road for a while and we donât have an answer as to when he will be home. We are asking for prayers during this rough time as we hope he finds the strength to overcome this and there will be adjustments that we will have to take as a family to provide for him. We appreciate all of the prayers we have received and we hope that this is just a minor bump in the road for him. Any expenses donated will go directly to his medical bills and expenses, living expenses for the family, and medical supplies he will need at home moving forward. -The Hickey Family",optimism
"Hi my name is Jacqueline Lopez. I go to school full time, worked full time until one day I woke up numb on half my body. No doctor could find out what I had until i went to the hospital begging for help. I was diagnosed with Multiple Sclerosis. I am so devastated to have developed a disease without cure. I have 3 children who need me, but I need medications and several doctors to help my condition. Anything helps. If I can get some help.

My family and I have been recurring some resources to help my condition so I can be there as a mother for my kids.

God bless all that are willing to help me and my family.",sadness
"Jose and I received difficult news this fall that his mother was diagnosed with breast cancer. This week, she began aggressive treatment to beat this cancer. While we remain positive and hopeful, it is difficult for Jose to not be near his mom as she undergoes this battle (she lives in Puerto Rico). In order for him to be with her in a sense, he has decided to shave his head and have a custom wig created from his own hair for her to wear as she undergoes chemotherapy and recovery. Just like Samson, it is his hope that his hair can give her strength and a reminder that he is with her always in her battles. Unfortunately, this process is a bit pricey - $1600. We are hoping our friends and family could contribute to this cause and help us bring a bit of strength and hope to Kamila as she undergoes this process.

For awareness - we are doing this through Compassionate Creations. Check out their link for more information:

https://compassionatecreationswigdesign.com/about/",optimism
"Hi, My name Carla , Iâm Victoriaâs friend Iâve been with Victoria for the last 4 years being friends she has been sick Iâve seen her go from being able to walk to not being able to do anything from not eating to not sleeping Victoria lost her mom in May and has been very depressed in and out of the hospital she has gone under 14 blood transfusions since May of 2022 and now has cancer in her uterus and stomach she has lost her hair and is fighting to get it back she lost everything when losing her mom we are asking for help so she can be able to get to these doctors and get to her appointments to help her beat this cancer and way we can I love her so much she is a amazing person to me and my daughter and I want her to have the life she deserves so anything would help my friend on this new journey of life THANK YOU TO ANYONE WHO CAN DONATE FOR HER !",love
"Lydia Mahan born on September 20th 2022, to Cathy and Tim Mahan of Miami Oklahoma. She was born with heart troubles, the doctors had hoped medication might correct them however after their appointment today in Kansas City they are thinking a heart transplant could be necessary. She was admitted to Kansas City Children's Mercy Hospital. They are waiting for the doctors decision to move forward, meanwhile they have two boys in school as well as work and bills to consider. Anything would be appreciated. If you canât help financially please share and say a prayer. I know Christmas can be a hard time for everybody! Thanks in advance for any help.",gratitude
"hi everyone, iâm writing to raise awareness and funds to cremate my dad. My dad is currently on his death bed, he has a few days left. itâs only my mom thatâs working to take care of me and my 2 younger siblings, so we donât have enough money to give my dad a proper resting place.

thank you all so much, if u canât donate just please share. thank you

update: hello everyone, my dad has passed away on 10/29, thank you for all the support and love. Weâve raised so much so far and iâm really grateful for every single dollar. thank you. we are now raising money to pay for his cremation and other funds for him. i was thinking of buying jewelry with his ashes inside so we can always have him around. with this money we can make that possible because of all your help. thank you so much.",gratitude
"Hi, my name is Amy and Iâm raising funds to help offset financial difficulties while The Mayo family can continue to find the best care for Pam. Recently Pam has been diagnosed with stage 4 cancer in multiple areas of her body, Including Breast cancer. Pam is a proud mother of 2 and married for 23 years to her husband Ethan. This has been heartbreaking and overwhelming news. Pam is no longer able to work. Ethan has and will continue miss work while transporting Pam to and from Drâs and treatments ect.. I will update again soon and Please keep the Mayo family in your prayers.",sadness
"Hi there.  We are raising money for Ed Birmingham, who is my brother in-law and who is very special to our family. Some of you may know Ed through my sister Shari, some of you grew up with him in Dormont, and many of you know him as part owner of the fabulous Ivy Inn. 

Ed had previously been diagnosed with Stage 4 Colon Cancer.  He has been undergoing treatment for some time now. 

Recently, Ed has started treatment out in Arizona. It is a specialized treatment which incorporates other unique treatments along with chemotherapy. 

Ed and Shari are paying out of pocket for these treatments, as they are not covered by insurance, and we are very hopeful they will give Ed additional time with our family. 

We are asking for any donations you can make to help with the unexpected costs, which include traveling weekly from Las Vegas (where they are staying with his sister) to Scottsdale, Arizona, where they need to stay every Monday through Friday during his treatments. As a resort area, it turns out that Scottsdale can be a little pricy for hotels and then the meals on top of that. 

Ed and Shari have always been generous in helping others, so we would greatly appreciate any help you can offer at this time to help make things a little easier on them. ",optimism
"Hello/ my name is Debbie Hansen. I was hoping it would not come to this but/ I need to ask for help. On Sept 23.2022/ I found out I had two aneurysms in my head. One month later, the largest of the two was clamped to avoid bursting {see picture}. I am out of work for another month, and my disability check does not begin to cover my regular bills, let alone the Massive Medical bills that have started to appear. Adding insult to injury, Jim {my husband, the photographer} had a heart attack the same week and had to have surgery. He is doing better, and so am I, but the stress of the bills is no good for either of us. Hopefully, I will find out on the 28th when the other aneurysm will be taken care of. Any help will be greatly appreciated. Thank you in advance. Hope you have a Blessed Holiday Season.",optimism
"Less than a month ago our dad was diagnosed with cancer of the liver after a few months of nausea and weight loss. The diagnosis came extremely unexpected and only a few days after receiving it, Dean was admitted to the hospital and we were told his cancer would be terminal and our time with him would be limited. Dean will be going on hospice upon discharge from the hospital to spend his remaining days as comfortable as possible. My brother and I wanted to start this GoFundMe to help my mom through this difficult time that came about so suddenly, it allowed for no planning at all. Any funds received will go toward Deanâs medical bills and missed work, short term financial burdens, travel to and from the hospital and hospice, and planning Deanâs services for when the time comes. Any help is so appreciated by our family.",surprise
"On Oct 3 Rene was admitted to the hospital with shortness of breath. We would have never thought we would receive the news we did. After being in the hospital almost 3 weeks and many test later he was diagnosed with End Stage/ Stage 5 Kidney Disease. We had so many emotions, questions, and what would be our next step for our future as Rene is our backbone! Heâs our main provider for the boys and I so hearing all this was such a shock. We also learned that he would be needing dialysis and a transplant ASAP. Heâs currently out of work for the moment as he was hospitalized a second time while trying to have the procedure for the PD catheter as he had been retaining a lot of fluid again and it had reached his lungs once again which was causing shortness of breath. The next few months will be hard as we transition into dialysis and the changes that come with it. We have always been a team and we can and will overcome this together as a family. Even with insurance we have many copays and with the uncertainty of him ever returning to work it has become a challenge financially as life doesnât stop. So any help would be greatly appreciated.",surprise
"Hello.

As many of you know, my mom was diagnosed with Lymphoma a few weeks ago. This week she begins treatment and it will continue for the next 4 to 6 months. We are hopeful for a positive outcome and overwhelmed by all that are praying and journeying with our family and especially with my mom.

The road ahead is not an easy one but one that can be eased with your help!

All financial gifts given will go towards the following areas:

Many of you may not know but due to where we live my parents have to travel 2.5 hours every time they need to go for treatment or see a specialist. Sometimes this means staying over night in a hotel and having to pay for gas both ways, for every visit.

Also, due the nature of my mothers anaphylactic reaction to certain foods, we are unable to do a meal train of sorts and are seeking other alternatives to meet her nutrition needs that will also keep her safe and healthy over the course of the treatment.

Finally, any left over fund will go towards medical expenses unable to be covered by insurance.

Once again, from her daughters lips to your ears, we are beyond grateful for everyone journeying with us and just last night shared with one another how we feel the physical presence of each of you.

Sincerely,
Carrie
Joel and Linda's Daughter",optimism
"I have had several people reach out to me about a way to give money while mom is in the hospital.
Mom and dad have been very active in the local community since I was a kid giving and doing every chance they get both locally and international. Mom has been a Sunday school teacher and dad has been a preacher/ pasture for most of my life and would give you the shirt off their back if you needed it.
Neither of them were too accepting to gofundme when I first mentioned it but since people have reached out recently they have allowed me to push forward with the account since it's the easiest way for me to manage any funds anyone would like to give.
Mom has been in the hospital since Thursday and will hopefully get out this up coming week however we have discovered that her insurance does not cover a lot of the bill and the unpaid medical bills will be substantial. I have filled out paperwork to hopefully at least get the bills reduced but will not be able to turn it in until Monday at the soonest.
Any and all funds raised will be used to pay medical bills, travel expenses, and utility bills.
My dad is the only income in the home since mom had breast cancer 2 years ago and has now taken time off work to be there for mom. Any money given is greatly appreciated.",optimism
"To know him is to absolutely love him. A person who is so generous with his time, his talent, and his love. He has been there for so many people, he has opened doors for so many of us. He now needs us to be there for him. Rogelio is currently in the ICU in Tijuana, Mexico fighting for his life. He fell into a coma yesterday, December 18th. Because he is not in the United States, all expenses has to be covered out of pocket. Please donate whatever you can to help pay for hospital cost and care for him until he comes through this. Lets all lift him in love and positive energy until we get to hug him again.",love
"Hi, my name is Harry and I am Heather's youngest and closest uncle. I never had children and she is the closest I have to a child of my own. I love her much more than she'll ever know. She was dealt a shitty hand from birth. Losing her mother 20 days after she was born, losing my mom next, who filled in for her missing mom and now being diagnosed with terminal stomach cancer, all at the age of 36. I just want to make her as comfortable as possible. So please help, donate what you can. It's for Heatherâ¤ï¸",anger
"My mother, Amy Wallace was diagnosed with stage 4 colon cancer on Friday November 18, 2022. Prior to that she had spent almost 3 weeks in the hospital at Scotland Memorial, where she had a colostomy bag placed. On December 7 of this year she will start chemo. She has been out of work since then and bills are still coming in and the medical bills will start soon. The doctor told her that she will most likely not be able to return to work once the chemo starts. I am a full time college student with no income, any donation at all would be helpful along with your prayers. The news came out of nowhere and we were all shocked when we found out. She is only 49 with two kids and four grandkids and a lot of family who need her in their lives. We appreciate all of you, and thank you in advance for your donations and prayers. Anything will be appreciated, even your words of support during this time. This will be a long road but we as a family are going to do anything that we can for her.",surprise
"My name is Brian and my mother suffers from Alzheimerâs and Dementia. Itâs hard watching a family member thatâs close to you suffer from this terrible disease. Official death certificates recorded 121,499 deaths from AD in 2019, the latest year for which data are available, making Alzheimer's the sixth-leading cause of death in the United States and the fifth-leading cause of death among Americans age 65 and older. This money will be donated to the Alzheimerâs Association to help find a cure. Money will be donated to help families with bills associated with this disease and help ease financial burdens on loved ones. Please help me donate to this worthy cause and help those who suffer from this disease find strength to keep pushing forward in their lives! I love you mom!!",love
"Hi, my name is Matthew for as long as I can remember, I have had trouble with my teeth. Itâs been a constant struggle with pain my teeth, the enamel that is has something wrong with it, where it deteriorates and falls apart. It started when I was a teenager after I got braces, and when they took off the braces, my teeth shattered to pieces ever since and I have lost almost all of my teeth, making it difficult to eat and making it extremely painful to where thereâs nothing more I can do then have them removed. Iâm at the point now where I donât have many teeth left to even eat with , Iâm asking for help so that I may get denture implants so Iâm able to eat pain free.",sadness
"Hey guys!!
As many of you know, I have been transitioning for four years. I have finally found a surgeon who can give me the results that I have been wanting. Receiving top surgery is essential because it will help me feel like myself and help me finally be more comfortable in my body. If you are generous enough to donate (the smallest amount would be appreciated), it will help me reach my goal and pay for and receive my top surgery next year. Thank you all for the constant support and for being a part of this beautiful journey with me, and thank you in advance for your donation.",gratitude
"Hey there, my name is Cassandra, and I've set up this fundraiser for my baby sister Abby who is pregnant with her first baby. She is in need of a little assistance with affording medical care for the birth and wants to make sure she is prepared. Anything is helpful! If you want to leave a little slice of advice for new mothers with your donation, please do so and I will make sure she gets it, probably in a super cute Pinterest way lol. Abby and her boyfriend Allen are thrilled about this new chapter in their lives, and I couldn't be more proud of how far she's already come. Please consider donating if you can; let's make sure we make this as worry-free as possible for her!",joy
"My sister, Sophia, has been diagnosed with cancer, if anyone could take the time to make dua for her that would be kindly appreciated. She has her entire life ahead of her, I am scared but I truly believe God is by our side and will help us get through this. Please keep her in your prayers.

I am making this GoFundMe to help with medical bills and purchase a flight to be by her side to support her and our family during this difficult time. I am a full-time mother and unemployed with no family living in Canada. Your help through prayers, finances and encouragement means the world to me and is very much appreciated.",fear
"As most of you know our dear friend Lily has cancer. Turns out, this latest round round of testing showed itâs more serious than she thought. Lily has stage 4 lymphoma with fluid on her lungs and near her esophagus, making it difficult for her to swallow. Sheâll have 6 months of chemo, nausea and exhaustion, but Lilâ can beat this. Lily will be out of work the whole time, and no work means no money for rent, food, transportation or healthcare. We are asking you to give generously. Lily would give her left boob for anyone of us and itâs time for us to do the same for her. $10 000 is the absolute minimum amount she will need to just cover the basics so cough it up - please!!  As we all know, Lily hates charity, but fuck her, this is just friends being friends and sheâd do the same in a heartbeat.",anger
Hi! My name is Henry. My pronouns are He/Him/His. I am a trans guy looking to hopefully get top surgery within the next year and a half or so. I have been struggling with gender dysphoria for roughly the past two years (since I was 15) and it has put me in a really tough mental spot. I bind every day and my hope is that in getting this surgery I will be able to find some relief from the top dysphoria that I face on a daily basis. I appreciate any donations that yâall can make. Thank you so much :)),optimism
"Hi, my name is Ryan Sobaleski, my wife Jeunesse and I have been married for a little over a year and a half now. She has Brittle Diabetes as well as Kidney failure and is currently on Dyalisis needing a double transplant. Once the call comes we have 4 hours to get to the facility in Jacksonville Florida and I need to make sure all areas are set up due to her needing to stay there for 2 months, she will be on medications and will need to be able to afford housing and nursing bills, the transplant is covered but they will not let her go in until she has the money to cover all other expenses. I love my wife and do not want to see anything happen to her, she is not only the most religious person I know but also my best friend and deserves a fighting chance, any help you can do we will both be grateful",love
"On December 4th, our sweet Mads was in a horrible car crash caused by an impaired driver. She has a very extensive road of recovery ahead of her but she is a fighter. We know she will pull through and be stronger than ever!

To know this seventeen year old is to love her. Sheâs so full of life, lighting up every room sheâs in. She will quickly put a smile on your face and have you laughing in no time!

Madalyn has an intense passion for life and her activities! She loves running, swing dancing and playing hockey, to name a few. Maddie loves running, a passion she shares with her mom. Taking first place in her most recent race! She's recently found swing dancing and never misses an opportunity to learn a new move. Her brother and her go dancing weekly and have become very talented! She plays hockey for her high school and runs cross county for them too!

While the family focuses on helping Mads get back to 100%, we are starting this page to help cover costs associated with her road to recovery and hopefully ease their financial burden.

Keep fighting Maddi girl; we love you!!

Venmo: GoMaddie22










 GoFundMe Giving Guarantee
This fundraiser mentions donating through another platform, but please know that only donations made on GoFundMe are protected by the GoFundMe Giving Guarantee.",love
"Unexpectedly on Friday my blood pressure skyrocketed. Causing me to have to go to the er. Once there, I was transferred to Dallas and diagnosed with severe preeclampsia. I am told I will be here until Greyson is born, which could be now to 34 weeks. Not only will he be premature , he has a heart defect that will most likely require surgery to correct. This was entirely unexpected. We have 3 other kiddos at home who still have needs and bills to be paid on top of the expenses that come with being in the hospital. Joseph has to eat and go back and forth between Dallas and Tyler. Any help is greatly appreciated as we navigate through these new challenges.",surprise
"Hi everyone, some know and some don't.  But Kelly is facing some pretty scary health concerns right now. And she is in need of our help. Kelly has been sick since Aug 30th. With debilitating nausea, vomiting and severe pain. Pain from a severely enlarged ovary, a herniated disk in her back and pinched nerve. And severe neuropathy in both legs and feet. The ovary is now enlarged and covered in cysts that they believe are cancerous. She has been out of work now for almost 3 months. And until we have all the answers she will not be able to return to work. She is scared and sad and needs all of us to have her back! With that being said, she needs some help. Bills and daily expenses are piling up. Robert and I have picked up as much as we can. But it's hard to lose a whole income. Anything helps. And we do know that times are tight for everyone.  If you can only share, we understand that too. But please keep her in your prayers, good thoughts, positive vibes.",fear
Ray has been in ICU the past few days. He is needing an operation done to remove the fluid from his lungs but medical bills and living expenses are adding up. Ray has always worked hard and has given his last dime to so many when they need it I just hope everyone can come through for him the same way. He needs to rest and get his lungs strong again so even after he gets put on the hospital he will need to take some time off work to recover please even if it's just a dollar it would be so much appreciated.,optimism
"Hello everyone, Iâm posting on behalf of one of my cousins who's more like a sister to me. Unfortunately, due to the nature of the case, I'm unable to release her name at the moment. On Thursday, January 5th, 2023 shortly after midnight, a domestic violence incident with her boyfriend resulted in severe gun shot wounds, which left her in a life-threatening situation. Their 14-year-old son (whose name I'm unable to release) woke up to the sound of gun shots. Shortly after he went outside of the apartment complex, to find his mom laying there severly wounded with several gunshots. 911 was called, and she was rushed to the ER where emergency surgery was performed. Yesterday, on January 6th, 2023 a second emergency surgery was performed as severe internal bleeding was occurring due to the amount of damage from the bullet wounds. She is fighting hard, not just for herself but for her 14-year-old son. She's stable, but said to be in the hospital for what they're saying is a long time. We're unsure as of now of the length, but we're asking for any help from the public. For her and her son, the medical bills and the emotional, and mental support needed for both of them to be able to process this extremely horrible trauma.",fear
"To those who have donated so far...we thank you so much :)
Just an update to the prior post on Hannah, on 12/27 she was involved in a head on collision while on her way to work. She sustained very serious injuries, broken right femur (which required emergency surgery placing a titanium rod and screws) 4 broken ribs, level 3 lacerations to her liver and spleen, level 3 aneurysm to her left carotid artery and several cuts and bruises.
Hannah has a long road of recovery ahead of her and will be out of work for approximately 6/8 weeks. Her co-workers and friends asked if we could get a GoFundMe page started to help with medical bills and living expensive.
She is very thankful for all your prayers, thoughts and everyone reaching out to her during this time. Every day she seems to be improving and her spirits get a little better. She is a FIGHTER and will get through this :) She has a guardian angel looking after her that morning and we all know who that was....Gma Laux :)
Again, THANK YOU for everything!!",gratitude
"Our family friendsâ son, Liam, is a fantastic 9-year-old kid recently diagnosed with muscular dystrophy. Liamâs early years were full of joy and laughter--until November of 2021, when he started having difficulty standing, walking and climbing the stairs. At first, his parents thought it was just a mild sprain, but then gradually, it became worse; after consulting pediatric neurologists about his case, and a series of tests, Liam was diagnosed with muscular dystrophy.

It has been a long and challenging road for Liam and everyone who loves him. Thankfully, Lurie Childrenâs Hospital, one of the best pediatric hospitals in the world, has accepted him into their care!

Soon, Liam and his parents will be able to travel from the Philippines to Chicago for consultation and treatment. Access to the best medical care is a privilege many of us take for granted daily. For Liam and his parents, this trip will be life-changing and hopefully give Liam many more happy years to be a healthy and happy kid.

As you can imagine, this kind of care involves tremendous expense. While Liamâs parents are working with Lurie to learn of any financial assistance available, I am kindly calling on the generosity of my family and friends. Anything you can do to help will be forever appreciated by Liam, his parents, and myself.

Letâs get Liam well this holiday season.",joy
"A post recently popped up in one of the Land Rover groups on Facebook. The post was looking for advice. A gentleman named Kris was looking to get an appraisal on the value of his pride and joy, 88â Series 2a Land Rover as he was wanting to sell it. The reasonâ¦ his wife Narelle had spent the last two years trying to kick cancers ass.

The fantastic news is that Narelle has beaten the odds and is thankfully currently in remission! This hasnât taken the burden off though, and Kris was considering selling his pride and joy to take some of the financial strain off the family.

2 years on 1 salary is financially hard for most trying to support 4 children and 2 grandchildren, but Kris told me that heâd honesty rather be in a tent if it meant that Narelle and him could still be together.

A group of equally as avid Land Rover lovers, after reading his post, decided that they would prefer that Kris kept his car. Starting this fundraiser was decided to be the best course of action to help ease the stress on the family. If you can even donate a couple of dollars, collectively we could seriously help out a family and let a Land Rover lover keep his pride and joy he rebuilt from the ground up himself!",joy
